#KPL:P: uppercase-uppercase
A A
A B
B A
A C
C A
D A
E A
F A
G A
H A
A J
J A
K A
L A
P A
Q A
R A
A S
S A
A T
T A
A U
A V
V A
A W
W A
A X
X A
A Y
Y A
A Z
Z A
B B
B C
C B
D B
E B
F B
G B
H B
B J
J B
K B
L B
P B
Q B
R B
B S
S B
B T
T B
B U
B V
V B
B W
W B
B X
X B
B Y
Y B
B Z
Z B
C C
D C
E C
F C
G C
H C
C J
J C
K C
L C
P C
Q C
R C
C S
S C
C T
T C
C U
C V
V C
C W
W C
C X
X C
C Y
Y C
C Z
Z C
D J
D S
D T
D U
D V
D W
D X
D Y
D Z
E J
E S
E T
E U
E V
E W
E X
E Y
E Z
F J
F S
F T
F U
F V
F W
F X
F Y
F Z
G J
G S
G T
G U
G V
G W
G X
G Y
G Z
H J
H S
H T
H U
H V
H W
H X
H Y
H Z
J J
K J
L J
P J
Q J
R J
J S
S J
J T
T J
J U
J V
V J
J W
W J
J X
X J
J Y
Y J
J Z
Z J
K S
K T
K U
K V
K W
K X
K Y
K Z
L S
L T
L U
L V
L W
L X
L Y
L Z
P S
P T
P U
P V
P W
P X
P Y
P Z
Q S
Q T
Q U
Q V
Q W
Q X
Q Y
Q Z
R S
R T
R U
R V
R W
R X
R Y
R Z
S S
S T
T S
S U
S V
V S
S W
W S
S X
X S
S Y
Y S
S Z
Z S
T T
T U
T V
V T
T W
W T
T X
X T
T Y
Y T
T Z
Z T
V U
W U
X U
Y U
Z U
V V
V W
W V
V X
X V
V Y
Y V
V Z
Z V
W W
W X
X W
W Y
Y W
W Z
Z W
X X
X Y
Y X
X Z
Z X
Y Y
Y Z
Z Y
Z Z
